Date,Time,Milliseconds,ResponseTime(secs)
06/05/2017,12:35:41,132,0.6734973
06/05/2017,12:35:41,153,0.6564562
06/05/2017,12:35:41,536,0.3909208
06/05/2017,12:35:41,697,0.4385365
06/05/2017,12:35:41,705,0.4312763
06/05/2017,12:35:41,836,0.3695969
06/05/2017,12:35:41,839,0.5770659
06/05/2017,12:35:41,850,0.5945106
06/05/2017,12:35:41,858,0.5985191
06/05/2017,12:35:41,977,0.5175462
06/05/2017,12:35:42,208,0.4093443
06/05/2017,12:35:42,212,0.4839399
06/05/2017,12:35:42,245,0.4562974
06/05/2017,12:35:42,666,0.2920929
06/05/2017,12:35:42,459,0.5163004
06/05/2017,12:35:42,483,0.5841243
06/05/2017,12:35:42,497,0.5921448
06/05/2017,12:35:42,541,0.5662601
06/05/2017,12:35:42,751,0.4309038
06/05/2017,12:35:42,753,0.438391
06/05/2017,12:35:43,14,0.2902671
06/05/2017,12:35:43,303,0.1912159
06/05/2017,12:35:43,37,0.4733252
06/05/2017,12:35:43,305,0.3310565
06/05/2017,12:35:43,108,0.558918
06/05/2017,12:35:43,125,0.5529037
06/05/2017,12:35:43,147,0.5409626
06/05/2017,12:35:43,498,0.445824
06/05/2017,12:35:43,637,0.4234619
06/05/2017,12:35:43,645,0.4292116
06/05/2017,12:35:43,692,0.4011318
06/05/2017,12:35:43,710,0.5854179
06/05/2017,12:35:43,714,0.6014853
06/05/2017,12:35:43,730,0.600152
06/05/2017,12:35:44,121,0.4358318
06/05/2017,12:35:44,85,0.5382998
06/05/2017,12:35:44,97,0.5995009
06/05/2017,12:35:44,123,0.599416
06/05/2017,12:35:44,159,0.5732403
06/05/2017,12:35:44,682,0.1973643
06/05/2017,12:35:44,338,0.5948814
06/05/2017,12:35:44,353,0.5857157
06/05/2017,12:35:44,373,0.5847625
06/05/2017,12:35:44,616,0.4130769
06/05/2017,12:35:44,862,0.2755838
06/05/2017,12:35:44,860,0.6802353
06/05/2017,12:35:44,863,0.6802301
06/05/2017,12:35:45,14,0.5627772
06/05/2017,12:35:45,25,0.5717987
06/05/2017,12:35:45,16,0.6115816
06/05/2017,12:35:45,22,0.6155973
06/05/2017,12:35:45,190,0.4581977
06/05/2017,12:35:45,113,0.5624422
06/05/2017,12:35:45,592,0.4913412
06/05/2017,12:35:45,595,0.5331226
06/05/2017,12:35:45,670,0.5678038
06/05/2017,12:35:45,676,0.571806
06/05/2017,12:35:45,673,0.5991783
06/05/2017,12:35:45,708,0.5676054
06/05/2017,12:35:45,674,0.6216057
06/05/2017,12:35:45,762,0.5536453
06/05/2017,12:35:46,136,0.5369477
06/05/2017,12:35:46,181,0.5389483
06/05/2017,12:35:46,281,0.4868241
06/05/2017,12:35:46,317,0.5833255
06/05/2017,12:35:46,293,0.6331393
06/05/2017,12:35:46,353,0.5816572
06/05/2017,12:35:46,360,0.5891034
06/05/2017,12:35:46,324,0.6458728
06/05/2017,12:35:46,820,0.4558787
06/05/2017,12:35:46,652,0.6821654
06/05/2017,12:35:46,728,0.6754109
06/05/2017,12:35:46,774,0.6703464
06/05/2017,12:35:46,951,0.6572874
06/05/2017,12:35:46,981,0.6371769
06/05/2017,12:35:46,974,0.6482062
06/05/2017,12:35:47,27,0.6064286
06/05/2017,12:35:46,994,0.662578
06/05/2017,12:35:47,39,0.6235039
06/05/2017,12:35:47,689,0.1856236
06/05/2017,12:35:47,453,0.5363721
06/05/2017,12:35:47,494,0.5420779
06/05/2017,12:35:47,906,0.1823613
06/05/2017,12:35:47,660,0.5430627
06/05/2017,12:35:47,673,0.5560977
06/05/2017,12:35:48,131,0.1878879
06/05/2017,12:35:48,40,0.4413802
06/05/2017,12:35:48,85,0.4313421
06/05/2017,12:35:48,365,0.1928633
06/05/2017,12:35:48,312,0.3015477
06/05/2017,12:35:48,565,0.4392392
06/05/2017,12:35:48,570,0.4502293
06/05/2017,12:35:48,654,0.4017471
06/05/2017,12:35:49,44,0.1885919
